Siniestro,DENUNCIA,Pieza,Tarea,Horas,pieza_normalizada
1065/2021,M343211,frente vertical central,Sustituir,0.50,Otro
1065/2021,M343211,puerta delantera des parcial izq,Reparar,0.00,Puerta Delantera Izquierda
1065/2021,M343211,pasarrueda delantero der,Reparar,1.00,Otro
1065/2021,M343211,pasarrueda delantero izq,Reparar,2.00,Otro
1065/2021,M343211,condensador de aa,Reparar,2.00,Otro
1065/2021,M343211,carga de gas,Sustituir,0.00,Otro
1065/2021,M343211,alma de paragolpe delantera,Reparar,1.00,Otro
1065/2021,M343211,electroventilador,SYC,0.60,Otro
1081/2021,M303988,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1081/2021,M303988,soporte caminero izq,Sustituir,0.30,Otro
1081/2021,M303988,caminero izq,Sustituir,0.00,Otro
1081/2021,M303988,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1081/2021,M303988,capot,Sustituir,1.00,Capot
1081/2021,M303988,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
1081/2021,M303988,fender del (izqder) guardabarro izq,Sustituir,0.30,Otro
1081/2021,M303988,guia de paragolpes del izq,Sustituir,0.20,Otro
1081/2021,M303988,bucheglass del izq,Sustituir,0.30,Otro
1081/2021,M303988,trampa de agua,Sustituir,0.18,Otro
1081/2021,M303988,encausador aire radiador izq,Sustituir,0.20,Otro
1081/2021,M303988,llanta diamantada 17,Sustituir,0.50,Otro
1081/2021,M303988,llanta a reparar diamantada 17,Sustituir,0.00,Otro
1081/2021,M303988,cubierta (continental) 20555 r 17,Sustituir,0.10,Otro
1081/2021,M303988,bagueta zocalo plastico izq,Sustituir,0.40,Zocalo Izquierdo
1081/2021,M303988,parabrisas,Sustituir,2.00,Otro
1081/2021,M303988,contactor airbag izq,Sustituir,1.00,Otro
1081/2021,M303988,airbag izq,Sustituir,1.00,Otro
1081/2021,M303988,airbag der,Sustituir,1.00,Otro
1081/2021,M303988,caja disparadora,Sustituir,0.50,Otro
1081/2021,M303988,cinto seguridad izq,Sustituir,0.50,Otro
1081/2021,M303988,cinto seguridad der,Sustituir,0.50,Otro
1081/2021,M303988,parrilla rotulada izq,Sustituir,0.00,Otro
1081/2021,M303988,amortiguador del izq,Sustituir,1.00,Otro
1081/2021,M303988,grapodina del izq,Sustituir,0.00,Otro
1081/2021,M303988,casoleta del izq,Sustituir,0.00,Otro
1081/2021,M303988,bieleta del izq,Sustituir,0.25,Otro
1081/2021,M303988,portamaza del izq,Sustituir,0.50,Otro
1081/2021,M303988,masa deltras izq,Sustituir,0.30,Otro
1081/2021,M303988,ruleman de masa del izq,Sustituir,0.50,Otro
1081/2021,M303988,puntero direccion izq,Sustituir,0.25,Otro
1081/2021,M303988,barra direccion izq,Sustituir,0.25,Otro
1081/2021,M303988,caja fusibles ext inf en pasarueda,Sustituir,1.00,Otro
1081/2021,M303988,tablero completo pta a pta,Sustituir,6.00,Otro
1081/2021,M303988,bucheglass del der,SYC,0.30,Otro
1081/2021,M303988,faroles delantero der,SYC,0.50,Farol Delantero Derecho
1081/2021,M303988,puerta delantera des parcial izq,Reparar,7.00,Puerta Delantera Izquierda
1081/2021,M303988,balancear y armar x 2,Sustituir,0.00,Otro
1081/2021,M303988,montante delan izq,Reparar,4.00,Otro
1081/2021,M303988,kit pegado,Sustituir,0.00,Otro
1081/2021,M303988,alineacion tren del,Sustituir,0.00,Otro
1081/2021,M303988,pasarrueda delantero izq,Reparar,3.00,Otro
1081/2021,M303988,susp del izquierda,SYC,3.00,Otro
1081/2021,M303988,cubierta (continental) 20555 r 17,Sustituir,0.10,Otro
1081/2021,M303988,reseteo sistema,Sustituir,0.00,Otro
1081/2021,M303988,semieje delantero,Reparar,3.00,Otro
1081/2021,M303988,"chapa prot,disco freno del izq",Reparar,1.00,Otro
1082/2021,M342927,carcaza filtro aire tapa motor,Sustituir,0.25,Otro
1082/2021,M342927,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1082/2021,M342927,careta completa,Sustituir,0.50,Otro
1082/2021,M342927,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
1082/2021,M342927,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1082/2021,M342927,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
1082/2021,M342927,capot,Sustituir,1.00,Capot
1082/2021,M342927,parabrisas,Sustituir,2.00,Otro
1082/2021,M342927,kit pegado,Sustituir,0.00,Otro
1082/2021,M342927,airbag der,Sustituir,1.00,Otro
1082/2021,M342927,airbag izq,Sustituir,1.00,Otro
1082/2021,M342927,caja disparadora,Sustituir,0.50,Otro
1082/2021,M342927,reseteo sistema,Sustituir,0.00,Otro
1082/2021,M342927,pasarrueda delantero der,Reparar,4.00,Otro
1082/2021,M342927,abs,SYC,1.00,Otro
1082/2021,M342927,vanos motor,SYC,1.00,Otro
1082/2021,M342927,guardabarro trasero soldado der,Sustituir,8.00,Guardabarro Trasero Derecho
1082/2021,M342927,tapizado baul compl,SYC,0.60,Otro
1082/2021,M342927,asiento trasero,SYC,0.80,Otro
1082/2021,M342927,farol trasero der,SYC,0.25,Farol Trasero Derecho
1082/2021,M342927,paragolpe trasero,SYC,1.00,Paragolpe Trasero
1082/2021,M342927,condensador de aa,Sustituir,1.00,Otro
1082/2021,M342927,radiador de agua,Sustituir,0.80,Otro
1082/2021,M342927,carga de gas,Sustituir,0.00,Otro
1082/2021,M342927,refrigerante,Sustituir,0.00,Otro
1082/2021,M342927,bisagras capot izq,Sustituir,0.25,Otro
1082/2021,M342927,bisagras capot der,Sustituir,0.25,Otro
1082/2021,M342927,frente inf,Sustituir,2.00,Otro
1082/2021,M342927,alineacion,Sustituir,0.00,Otro
1082/2021,M342927,balancear x2,Sustituir,0.00,Otro
1082/2021,M342927,alfombra,SYC,1.00,Otro
1082/2021,M342927,asiento delantero der,SYC,0.60,Otro
1082/2021,M342927,caY=o de escape silencioso medio,Sustituir,1.00,Otro
1082/2021,M342927,parrilla de susp del crotula der,Sustituir,1.00,Otro
1082/2021,M342927,manija puerta np ext tras der,Sustituir,0.00,Otro
1082/2021,M342927,puertas tras des parcial der,Reparar,4.00,Puerta Trasera Derecha
1082/2021,M342927,bieleta del der,Sustituir,0.25,Otro
1082/2021,M342927,frente superior atornillado,Sustituir,2.00,Otro
1082/2021,M342927,bucheglass del izq,Sustituir,0.30,Otro
1082/2021,M342927,bucheglass del der,Sustituir,0.30,Otro
1082/2021,M342927,broches buches x12,Sustituir,0.00,Otro
1082/2021,M342927,seY=alero laterales der,Sustituir,0.25,Otro
1082/2021,M342927,alma de paragolpe delantera,Sustituir,0.50,Otro
1082/2021,M342927,encausador aire jgo,Sustituir,0.20,Otro
1082/2021,M342927,frente vertical der,Sustituir,2.00,Otro
1082/2021,M342927,frente vertical central,Sustituir,0.50,Otro
1082/2021,M342927,bocina,Sustituir,0.00,Otro
1082/2021,M342927,caY=o de aire acondicionado alta,Sustituir,0.50,Otro
1082/2021,M342927,caY=o de aire acondicionado baja,Sustituir,0.50,Otro
1082/2021,M342927,cubierta,Sustituir,0.10,Otro
1082/2021,M342927,rejilla der de parag,Sustituir,0.10,Otro
1082/2021,M342927,"rejilla izq, de parag",Sustituir,0.10,Otro
1082/2021,M342927,caminero izq,Sustituir,0.00,Otro
1082/2021,M342927,caminero der,Sustituir,0.00,Otro
1082/2021,M342927,cinto seguridad izq,Sustituir,0.50,Otro
1082/2021,M342927,cinto seguridad der,Sustituir,0.50,Otro
1082/2021,M342927,piso der,Reparar,4.00,Otro
1082/2021,M342927,medio chasis del con bajada,Reparar,4.00,Otro
1082/2021,M342927,frente vertical izq,Reparar,2.00,Otro
1082/2021,M342927,medio chasis del izq c bajada,Reparar,4.00,Otro
1082/2021,M342927,puerta delantera des parcial der,Reparar,1.00,Puerta Delantera Derecha
1082/2021,M342927,deposito lp,Sustituir,0.20,Otro
1082/2021,M342927,rejilla torpedo,SYC,0.50,Otro
1105/2021,M343996,medio chasis del cbajada izq,Reparar,3.50,Otro
1105/2021,M343996,guardabarro delantero izq,Reparar,3.00,Guardabarro Delantero Izquierdo
1105/2021,M343996,capot,Reparar,2.00,Capot
1105/2021,M343996,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1105/2021,M343996,rejilla centde parag,Sustituir,0.10,Otro
1105/2021,M343996,guia de paragolpes del x2,Sustituir,0.20,Otro
1105/2021,M343996,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1105/2021,M343996,encausador aire inf,Sustituir,0.20,Otro
1105/2021,M343996,encausador aire sup,Sustituir,0.20,Otro
1105/2021,M343996,frente inf,Sustituir,2.00,Otro
1105/2021,M343996,continuacion buche glass,Sustituir,0.20,Otro
1105/2021,M343996,faroles delantero der,SYC,0.50,Farol Delantero Derecho
1105/2021,M343996,bucheglass izq,SYC,0.30,Otro
1105/2021,M343996,condensador de aa parcial,SYC,1.00,Otro
1105/2021,M343996,radiador de agua,Sustituir,0.80,Otro
1105/2021,M343996,bandeja inf paragolpe 7246155ro,Sustituir,0.15,Otro
1107/2021,M342938,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1107/2021,M342938,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
1107/2021,M342938,capot,Sustituir,1.00,Capot
1107/2021,M342938,bisagras capot x2,Reparar,1.00,Otro
1107/2021,M342938,careta,Sustituir,0.50,Otro
1107/2021,M342938,frente soldado completo,Sustituir,6.00,Otro
1107/2021,M342938,travesaY=o entrechasis,Sustituir,3.00,Otro
1107/2021,M342938,fender del (izqder) izq,Sustituir,0.30,Otro
1107/2021,M342938,fender del (izqder) der,SYC,0.30,Otro
1107/2021,M342938,"rejilla izq, de parag",Sustituir,0.00,Otro
1107/2021,M342938,cierre de espolon sup,Sustituir,0.25,Otro
1107/2021,M342938,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1107/2021,M342938,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
1107/2021,M342938,radiador de agua,Sustituir,0.80,Otro
1107/2021,M342938,condensador de aa contolar,SYC,1.00,Otro
1107/2021,M342938,refrigerante,Sustituir,0.00,Otro
1107/2021,M342938,carga de gas,Sustituir,0.00,Otro
1107/2021,M342938,mangon radi sup,Sustituir,0.30,Otro
1107/2021,M342938,sonda lambda,Sustituir,0.15,Otro
1107/2021,M342938,electroventilador,SYC,0.60,Otro
1107/2021,M342938,vanos motor,SYC,1.00,Otro
1107/2021,M342938,medio chasis del izq,Reparar,2.00,Otro
1107/2021,M342938,pasarrueda delantero izq,Reparar,2.00,Otro
1107/2021,M342938,bucheglass del izq,SYC,0.30,Otro
1107/2021,M342938,puerta delantera des parcial izq,Reparar,3.00,Puerta Delantera Izquierda
1107/2021,M342938,guardabarro delantero der,Reparar,1.00,Guardabarro Delantero Derecho
1107/2021,M342938,rejilla centde parag,Sustituir,0.00,Otro
1107/2021,M342938,medio chasis del der,Reparar,1.00,Otro
1107/2021,M342938,alineacion,Sustituir,0.00,Otro
1109/2021,M343955,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1109/2021,M343955,bucheglass izq,Sustituir,0.30,Otro
1109/2021,M343955,rejilla centde parag inferior,Sustituir,0.10,Otro
1109/2021,M343955,careta cmarco cromado,Sustituir,0.50,Otro
1109/2021,M343955,guia de paragolpes izq,Sustituir,0.20,Otro
1109/2021,M343955,guia de paragolpes der,Sustituir,0.20,Otro
1109/2021,M343955,insignia emblema,Sustituir,0.10,Otro
1109/2021,M343955,caminero der,Sustituir,0.00,Otro
1109/2021,M343955,capot,Reparar,1.00,Capot
1109/2021,M343955,frente inf,Reparar,1.00,Otro
1109/2021,M343955,bandeja inf paragolpe,SYC,0.15,Otro
1109/2021,M343955,radiador de agua soltar,SYC,0.80,Otro
1109/2021,M343955,aire acondicionado soltar,SYC,0.50,Otro
1118/2021,M343145,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
1118/2021,M343145,fender del (izqder) izq,Sustituir,0.30,Otro
1118/2021,M343145,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1118/2021,M343145,paragolpe del con accesorios,Reparar,3.50,Paragolpe Delantero
1118/2021,M343145,bucheglass del izq,SYC,0.30,Otro
1118/2021,M343145,bucheglass del der,SYC,0.30,Otro
1118/2021,M343145,faroles delantero der,SYC,0.50,Farol Delantero Derecho
1119/2021,M342303,puerta delan desarme completo izq reparar,Sustituir,4.00,Puerta Delantera Izquierda
1119/2021,M342303,moldura puerta del izq,Sustituir,0.20,Otro
1119/2021,M342303,fletes,Sustituir,0.00,Otro
1121/2021,M340967,guia de paragolpes tras izq,Sustituir,0.20,Otro
1121/2021,M340967,guia de paragolpes tras der,Sustituir,0.20,Otro
1121/2021,M340967,insignia emblema tras np,Sustituir,0.10,Otro
1121/2021,M340967,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1121/2021,M340967,alma paragolpe tras,Sustituir,0.50,Otro
1121/2021,M340967,panel trasero,Reparar,6.00,Panel Trasero
1121/2021,M340967,aloj faro tras(izqder) der,Reparar,2.00,Otro
1121/2021,M340967,guardabarro trasero soldado der,Reparar,3.00,Guardabarro Trasero Derecho
1121/2021,M340967,guardabarro trasero soldado izq,Reparar,2.00,Guardabarro Trasero Izquierdo
1121/2021,M340967,piso de baul,Reparar,3.00,Otro
1121/2021,M340967,medio chasis tras der,Reparar,2.00,Otro
1121/2021,M340967,tapa de baul,Reparar,4.00,Tapa de Baul
1121/2021,M340967,bucheglass tras izq,SYC,0.30,Otro
1121/2021,M340967,bucheglass tras der,SYC,0.30,Otro
1121/2021,M340967,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
1121/2021,M340967,farol trasero der,SYC,0.25,Farol Trasero Derecho
1121/2021,M340967,sensores estac tras,SYC,1.00,Otro
1128/2021,M342426,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1128/2021,M342426,bandeja inf paragolpe del,Sustituir,0.15,Otro
1128/2021,M342426,rejilla centde parag del,Sustituir,0.10,Otro
1128/2021,M342426,moldura cromada rejilla central,Sustituir,0.40,Otro
1128/2021,M342426,rejilla centde parag del inferior,Sustituir,0.10,Otro
1128/2021,M342426,bandeja superior paragolpe del,Sustituir,0.20,Otro
1128/2021,M342426,caminero der,Sustituir,0.00,Otro
1128/2021,M342426,rejilla der de parag del np,Sustituir,0.10,Otro
1128/2021,M342426,rejilla der de parag del mold crom np,Sustituir,0.10,Otro
1128/2021,M342426,bocina original,Sustituir,0.30,Otro
1128/2021,M342426,alma de paragolpe delantera aluminio,Sustituir,0.50,Otro
1128/2021,M342426,frente de fibra,Sustituir,2.00,Otro
1128/2021,M342426,radiador de agua,Sustituir,0.80,Otro
1128/2021,M342426,condensador de aa,Sustituir,1.00,Otro
1128/2021,M342426,refrigerante,Sustituir,0.00,Otro
1128/2021,M342426,carga de gas,Sustituir,0.00,Otro
1128/2021,M342426,bucheglass del der np,Sustituir,0.30,Otro
1128/2021,M342426,broches buche np,Sustituir,0.00,Otro
1128/2021,M342426,alineacion tren delan,Sustituir,0.00,Otro
1128/2021,M342426,balancear,Sustituir,0.00,Otro
1128/2021,M342426,encausador aire lateral der,Sustituir,0.20,Otro
1128/2021,M342426,correa de accesorios,Sustituir,0.25,Otro
1128/2021,M342426,soporte electro con electro,Reparar,0.00,Otro
1128/2021,M342426,electroventilador completo,Sustituir,0.60,Otro
1128/2021,M342426,tapa de enganche de paragolpe del np,Sustituir,0.00,Otro
1128/2021,M342426,soporte cierre capot chapa,Sustituir,0.30,Otro
1128/2021,M342426,grampa sup radiador agua,Sustituir,0.00,Otro
1128/2021,M342426,bucheglass del izq,SYC,0.30,Otro
1128/2021,M342426,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
1128/2021,M342426,faroles delantero der,SYC,0.50,Farol Delantero Derecho
1128/2021,M342426,frente vertical der,Reparar,4.00,Otro
1128/2021,M342426,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
1128/2021,M342426,llanta a reparar gagliano,Sustituir,0.00,Otro
1147/2021,M344045,puerta tras desarme compl der,Sustituir,4.00,Puerta Trasera Derecha
1147/2021,M344045,puerta delan desarme completo der,Sustituir,4.00,Puerta Delantera Derecha
1147/2021,M344045,pisadera entrada zocalo tras der,Sustituir,0.50,Zocalo Derecho
1147/2021,M344045,asiento trasero,SYC,0.80,Otro
1147/2021,M344045,farol trasero der,SYC,0.25,Farol Trasero Derecho
1147/2021,M344045,paragolpe trasero,SYC,1.00,Paragolpe Trasero
1147/2021,M344045,guardabarro trasero soldado der,Reparar,2.50,Guardabarro Trasero Derecho
1147/2021,M344045,zocalo der,Reparar,7.00,Zocalo Derecho
1147/2021,M344045,pasarrueda trasero der,Reparar,2.00,Otro
1147/2021,M344045,asiento delantero der,SYC,0.60,Otro
1147/2021,M344045,montante centrales der,Reparar,3.00,Otro
1147/2021,M344045,bisagras puertas tras x2 der,Reparar,1.00,Otro
1147/2021,M344045,tapizados alfombras burletes cintos der,SYC,2.00,Otro
1152/2021,M342910,tapa baul hatch,Sustituir,2.50,Tapa de Baul
1152/2021,M342910,cierre de espolon porton sup e in,Sustituir,0.25,Otro
1152/2021,M342910,insignia emblema kit tapa baul,Sustituir,0.10,Otro
1152/2021,M342910,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1152/2021,M342910,moldura pgolp tras negr,Sustituir,0.10,Otro
1152/2021,M342910,faro de matricula,Sustituir,0.20,Otro
1152/2021,M342910,faro reflectivo pgolp tras izq,Sustituir,0.00,Otro
1152/2021,M342910,faro reflectivo pgolp tras der,Sustituir,0.00,Otro
1152/2021,M342910,panel trasero cola,Sustituir,6.00,Panel Trasero
1152/2021,M342910,rejilla de aereacion panel tras izq,Sustituir,0.20,Otro
1152/2021,M342910,rejilla de aereacion panel tras der,Sustituir,0.20,Otro
1152/2021,M342910,burlete solo portC/n tras,Sustituir,0.25,Otro
1152/2021,M342910,broches bucheglass,Sustituir,0.00,Otro
1152/2021,M342910,broches paragolpe,Sustituir,0.00,Otro
1152/2021,M342910,tapizados varios baul,SYC,1.00,Otro
1152/2021,M342910,piso de baul,Reparar,7.00,Otro
1152/2021,M342910,farol trasero,SYC,0.25,Otro
1152/2021,M342910,farol trasero,SYC,0.25,Otro
1152/2021,M342910,techo,Reparar,1.00,Techo
1152/2021,M342910,medio chasis tras der,Reparar,1.50,Otro
1152/2021,M342910,guardabarro trasero soldado izq,Reparar,5.00,Guardabarro Trasero Izquierdo
1152/2021,M342910,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
1152/2021,M342910,medio chasis tras izq,Reparar,2.50,Otro
1152/2021,M342910,caY=o de escape,Reparar,2.00,Otro
1152/2021,M342910,pasarrueda trasero int,Reparar,2.00,Otro
1152/2021,M342910,asiento trasero,SYC,0.80,Otro
1152/2021,M342910,kit pegado,Sustituir,0.00,Otro
1152/2021,M342910,luneta tras,SYC,1.00,Otro
1152/2021,M342910,puertas tras des parcial izq,Reparar,0.00,Puerta Trasera Izquierda
1154/2021,M303938,guardabarro trasero soldado izq,Sustituir,8.00,Guardabarro Trasero Izquierdo
1154/2021,M303938,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1154/2021,M303938,fender tras (izqder) izq,Sustituir,0.30,Otro
1154/2021,M303938,tapa baul hatch,Sustituir,2.50,Tapa de Baul
1154/2021,M303938,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
1154/2021,M303938,luneta tras,SYC,1.00,Otro
1154/2021,M303938,vidrios fijos tras izq,SYC,0.80,Otro
1154/2021,M303938,puertas tras des parcial izq,Reparar,2.00,Puerta Trasera Izquierda
1154/2021,M303938,pasarrueda trasero izq,Reparar,4.00,Otro
1154/2021,M303938,chorizo izq de techo,Reparar,1.50,Otro
1154/2021,M303938,zocalo izq,Reparar,1.50,Zocalo Izquierdo
1154/2021,M303938,tapizado baul izq,SYC,0.20,Otro
1154/2021,M303938,panel trasero cola,Reparar,4.00,Panel Trasero
1154/2021,M303938,asiento trasero,SYC,0.80,Otro
1154/2021,M303938,caY=o de llenado de comb,SYC,0.25,Otro
1154/2021,M303938,piso de baul,Reparar,2.00,Otro
1154/2021,M303938,fletes,Sustituir,0.00,Otro
1154/2021,M303938,tapizado de techo,SYC,2.00,Otro
1154/2021,M303938,techo,Reparar,4.00,Techo
1154/2021,M303938,aloj faro tras(izqder) completo izq,Reparar,4.00,Otro
1154/2021,M303938,bandeja porta paquetes baul,Sustituir,0.20,Otro
1154/2021,M303938,fletes,Sustituir,0.00,Otro
1160/2021,M303847,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1160/2021,M303847,guia de paragolpes tras x2,Sustituir,0.20,Otro
1160/2021,M303847,bucheglass tras izq,SYC,0.30,Otro
1160/2021,M303847,bucheglass tras der,SYC,0.30,Otro
1160/2021,M303847,fletes,Sustituir,0.00,Otro
1190/2021,M340951,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1190/2021,M340951,rejilla centde parag,Sustituir,0.10,Otro
1190/2021,M340951,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
1190/2021,M340951,tasa,Sustituir,0.00,Otro
1190/2021,M340951,alineacion,Sustituir,0.00,Otro
1190/2021,M340951,balancear,Sustituir,0.00,Otro
1190/2021,M340951,faroles delantero der,SYC,0.50,Farol Delantero Derecho
1190/2021,M340951,bucheglass der,SYC,0.30,Otro
1190/2021,M340951,montante de parabrisas der der,Reparar,2.50,Otro
1190/2021,M340951,paragolpe trasero,Reparar,2.00,Paragolpe Trasero
1190/2021,M340951,farol trasero der,SYC,0.25,Farol Trasero Derecho
1190/2021,M340951,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
1190/2021,M340951,puerta delantera des parcial der,Reparar,2.50,Puerta Delantera Derecha
1190/2021,M340951,puerta tras desarme compl der,Reparar,4.00,Puerta Trasera Derecha
1190/2021,M340951,espejo retrovextelectrico der,Reparar,0.50,Otro
1206/2021,M342404,antena techo,Sustituir,0.30,Otro
1206/2021,M342404,puerta tras desarme compl izq,Sustituir,4.00,Puerta Trasera Izquierda
1206/2021,M342404,tasa x1,Sustituir,0.00,Otro
1206/2021,M342404,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1206/2021,M342404,guia de paragolpes tras x2,Sustituir,0.20,Otro
1206/2021,M342404,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
1206/2021,M342404,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
1206/2021,M342404,puerta delantera des parcial izq,Reparar,2.00,Puerta Delantera Izquierda
1206/2021,M342404,guardabarro trasero soldado izq,Reparar,6.00,Guardabarro Trasero Izquierdo
1206/2021,M342404,tapa ext deposito comb,Reparar,1.00,Otro
1206/2021,M342404,caY=o de llenado de comb,SYC,0.30,Otro
1206/2021,M342404,zocalo izq,Reparar,3.00,Zocalo Izquierdo
1206/2021,M342404,asiento trasero,SYC,0.80,Otro
1206/2021,M342404,tapizado cabina pasajero izq,SYC,0.80,Otro
1206/2021,M342404,balancear x1,Sustituir,0.00,Otro
1206/2021,M342404,fletes,Sustituir,0.00,Otro
1208/2021,M342876,paragolpe trasero,Reparar,1.00,Paragolpe Trasero
1208/2021,M342876,guardabarro trasero soldado izq,Reparar,2.00,Guardabarro Trasero Izquierdo
1208/2021,M342876,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
1221/2021,M342877,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
1221/2021,M342877,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
1221/2021,M342877,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1221/2021,M342877,guia de paragolpes tras izq,Sustituir,0.20,Otro
1221/2021,M342877,guia de paragolpes tras der,Sustituir,0.20,Otro
1221/2021,M342877,tapa baul hatch,Sustituir,2.50,Tapa de Baul
1221/2021,M342877,faro de matricula x 2,Sustituir,0.20,Otro
1221/2021,M342877,panel trasero cola,Sustituir,6.00,Panel Trasero
1221/2021,M342877,insignia emblema kit tapa baul,Sustituir,0.10,Otro
1221/2021,M342877,burlete solo tapa baul,Sustituir,0.25,Otro
1221/2021,M342877,guardabarro trasero soldado izq,Reparar,4.00,Guardabarro Trasero Izquierdo
1221/2021,M342877,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
1221/2021,M342877,tapizado baul compl,SYC,0.60,Otro
1221/2021,M342877,piso de baul,Reparar,6.00,Otro
1221/2021,M342877,puertas tras des parcial der,Reparar,1.00,Puerta Trasera Derecha
1221/2021,M342877,soporte parag tras x 2,Reparar,1.00,Otro
1221/2021,M342877,caY=o de escape,Reparar,2.00,Otro
1221/2021,M342877,puertas tras des parcial izq,Reparar,3.00,Puerta Trasera Izquierda
1221/2021,M342877,aloj faro del (derizq) izq,Reparar,2.50,Otro
1221/2021,M342877,aloj faro del (derizq) der,Reparar,1.50,Otro
1221/2021,M342877,asiento trasero,SYC,0.80,Otro
1221/2021,M342877,luneta tras,SYC,1.00,Otro
1221/2021,M342877,kit pegado,Sustituir,0.00,Otro
1221/2021,M342877,asiento delantero izq,Reparar,5.00,Otro
1221/2021,M342877,medio chasis tras der,Reparar,1.50,Otro
1221/2021,M342877,medio chasis tras izq,Reparar,1.00,Otro
1233/2021,M342415,brazos y escob cada una luneta,Sustituir,0.10,Otro
1233/2021,M342415,insignia kwid,Sustituir,0.20,Otro
1233/2021,M342415,bagueta fender tras der,Sustituir,0.40,Otro
1233/2021,M342415,puerta tras desarme compl,Sustituir,5.00,Otro
1233/2021,M342415,calcos infpta tras,Sustituir,0.00,Otro
1233/2021,M342415,calco montante suppta tras der,Sustituir,0.00,Otro
1233/2021,M342415,calco montante supptadel,Sustituir,0.00,Otro
1233/2021,M342415,calcos inf pta del,Sustituir,0.00,Otro
1233/2021,M342415,puerta delan desarme completo der,Sustituir,5.00,Puerta Delantera Derecha
1233/2021,M342415,manija puerta etcpta del der,Sustituir,0.00,Otro
1233/2021,M342415,espejo retrovextelectrico der,Sustituir,0.40,Otro
1233/2021,M342415,pino traba de puerta pino traba pta,Sustituir,0.00,Otro
1233/2021,M342415,alza crist electrico delantero der,Sustituir,0.00,Otro
1233/2021,M342415,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
1233/2021,M342415,bagueta fender del der,Sustituir,0.40,Otro
1233/2021,M342415,guardabarro tras lateral compl der,Sustituir,12.00,Guardabarro Trasero Derecho
1233/2021,M342415,zocalo der,Reparar,0.00,Zocalo Derecho
1233/2021,M342415,montante centrales der,Reparar,0.00,Otro
1233/2021,M342415,chorizo techo der,Reparar,0.00,Otro
1233/2021,M342415,kit pegado,Sustituir,0.00,Otro
1233/2021,M342415,tapa baul hatch,Reparar,2.00,Tapa de Baul
1233/2021,M342415,farol trasero der,SYC,0.25,Farol Trasero Derecho
1233/2021,M342415,paragolpe trasero,SYC,1.00,Paragolpe Trasero
1233/2021,M342415,techo,Reparar,1.50,Techo
1233/2021,M342415,tapizado de techo,SYC,2.00,Otro
1233/2021,M342415,tapizado der,SYC,0.50,Otro
1233/2021,M342415,bagueta techo der,SYC,0.40,Otro
1233/2021,M342415,asiento delantero der,SYC,0.60,Otro
1233/2021,M342415,vidrio de pta del der,Sustituir,0.00,Otro
1233/2021,M342415,parabrisas,SYC,2.00,Otro
1233/2021,M342415,lamina de vidrio,Sustituir,0.00,Otro
1233/2021,M342415,limpieza tapizados limpieza tapiza,Reparar,2.00,Otro
1233/2021,M342415,alfombra,SYC,0.25,Otro
1233/2021,M342415,manija puerta tras,Reparar,0.00,Otro
1233/2021,M342415,tablero completo,SYC,6.00,Otro
