STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
12182/2021,M354971,M,354.971,12.182,2.021,HYUNDAI,2.021,NHB20,2.021,AUTO,CHAMPAGNE,"CAPOT, PARAGOLPE DELANTERO,  AMBOS GUARDABARROS Y OPTICOS DELANTEROS,  CARETA, PARABRISAS,  TECHO, A CORROBORAR INT MEC CARROC Y DEMAS.",CARS
12287/2021,M356705,M,356.705,12.287,2.021,CITROEN,2.021,NC3 1.5 TENDANC,2.016,AUTO,ROJO,"PARAGOLPE DELANTERO, GUARDABARRO DELANTERO DERECHO, CAPOT,PUERTA DEL  DERECHA, DA?OS MECANICOS, DEMAS DA?OS A CORROBORRAR",CARS
11767/2021,M354951,M,354.951,11.767,2.021,FAW,2.021,N4PN5 NEW 1.0 F,2.017,AUTO,GRIS,PARAGOLPE DELANTERO CARETA CAPOT OPTICA IZQUIERDA GUARDABARRO DELANTERO IZQUIERDO TREN DELANTERO PERDIDA DE L?QUIDOS DEMAS A CORROBORAR,CARS
12953/2021,M355921,M,355.921,12.953,2.021,VOLKSWAGEN,2.021,N4PUP NUEVO MOV,2.019,AUTO,BLANCO,PARAGOLPE DELANTERO.,CARS
11746/2021,M354735,M,354.735,11.746,2.021,SUZUKI,2.021,N4PCELERIO 1.0,2.018,AUTO,GRIS,"PARAGOLPE TRASERO, BAUL, FAROL TRASERO DERECHO, LATERAL TRASERO DERECHO, DEMAS A CORROBORAR",CARS
12112/2021,M356902,M,356.902,12.112,2.021,KIA,2.021,N4PSOLUTO 1.4 E,2.020,AUTO,GRIS,"PARAGOLPE DELANTERO,  ?PTICO DERECHO,  CAPOT, GUARDABARRO DELANTERO DERECHO,  BUCHE DELANTERO DERECHO,  CARETA , FRENTE .",CARS
12503/2021,M356751,M,356.751,12.503,2.021,NISSAN,2.021,NVERSA 1.6 ADVA,2.016,AUTO,AZUL,"PARAGOLPE TRASERO,OPTI O TRASERO IZQ.,GUAR TRASERO IZQUIERDO, DEMAS DA?OS A CORROBORAR",CARS
12806/2021,M354189,M,354.189,12.806,2.021,RENAULT,2.021,NSYMBOL PRIVILE,2.010,AUTO,GRIS,PARAGOLPE TRASERO TAPA BAUL A CORROBORAR OTROS,CARS
11952/2021,M354367,M,354.367,11.952,2.021,SUZUKI,2.021,NSWIFT 1.2 GA F,2.015,AUTO,AZUL,*GUARDABARRO TRASERO DERECHO  FAROL TRASERO DERECHO  DEMAS A CONFIRMAR,CARS
12180/2021,M355137,M,355.137,12.180,2.021,PEUGEOT,2.021,N4P208 GRIFFE M,2.015,AUTO,GRIS,*ZOCALO DER. AMBAS PUERTAS DER. ESPEJO IZQ PARAG DEL PUERTA DEL IZQ GUARD DEL IZQ,CARS
13619/2021,M354783,M,354.783,13.619,2.021,NISSAN,2.021,N4PD 22 2.4 4X2,2.013,AUTO,GRIS,"PUERTA DELANTERA IZQUIERDA, PARAGOLPE DELANTERO,GUARDABARRO DELANTERO IZQUIERDO,FAROL DELANTERO IZQUIERDO.SE?ALERO DELANTERO IZQUIERDO..DEMAS A CORROBORAR",CARS
12437/2021,M354782,M,354.782,12.437,2.021,CHEVROLET,2.021,N4PONIX 1.0 JOY,2.019,AUTO,NEGRO,"TAPA BAUL.TECHO.PARABRISAS.MONTANTES,PUERTAS DERECHAS E IZQUIERDAS.LATERAL IZQUIERDO.CAPOT.PARAGOLPE DELANTERO.GUARDABARROS .CARETA.EJE TRASERO ,DEMAS A CORROBORAR POR VUELCO.",CARS
12318/2021,M354961,M,354.961,12.318,2.021,FIAT,2.021,N4PARGO DRIVE 1,2.018,AUTO,GRIS,PARAGOLPE DELANTERO CARETA CAPOT AMBAS OPTICAS AMBOS GUARDABARROS DELANTEROS PERDIDA DE L?QUIDOS DEMAS A CORROBORAR,CARS
11895/2021,M355440,M,355.440,11.895,2.021,CHEVROLET,2.021,N4PPRISMA NUEVO,2.018,AUTO,GRIS,"PARABRISAS PARAGOLPE DELANTERO, CAPOT,OPTICA IZQUIERDA, GUARDABARRO, PUERTA, PARANTE Y DEMAS A CORROBORAR.",CARS
11704/2021,M353062,M,353.062,11.704,2.021,RENAULT,2.021,N4PCLIO IV FASE,2.018,AUTO,BLANCO,"PARAGOLPE TRASERO, PORTON TRASERO,CENSORES, CONF DEMAS",CARS
11667/2021,M354707,M,354.707,11.667,2.021,AUDI,2.021,N4PQ3 1.4 TFSI,2.018,AUTO,BCA,PARAGOLPE TRA,CARS
11960/2021,M355650,M,355.650,11.960,2.021,SUZUKI,2.021,NALTO MARUTI 80,2.015,AUTO,ROJO,"AMBAS PUERTAS DERECHAS GUARDABARROS DERECHOS, Z?CALOS DERECHOS MONTANTES DE PUERTAS A CONFIRMAR INTERNOS",CARS
12006/2021,M353051,M,353.051,12.006,2.021,CHEVROLET,2.021,N4PONIX 1.0 JOY,2.017,AUTO,NEGRO,"PUERTA DE BAUL, PARAGOLPE TRASERO, LIMPIA/LAVA LUNETA TRASERO,CONF DEMAS",CARS
