Siniestro,DENUNCIA,Pieza,Tarea,Horas
5093/2021,M330864,TAPA BAUL HATCH                     ,Reparar,2.00
5093/2021,M330864,PASARUEDA CON TORRE interior tras IZQ   ,Reparar,6.00
5093/2021,M330864,ASIENTO TRASERO                     ,SYC,0.80
5093/2021,M330864,TAPIZADO                     ,SYC,0.50
5093/2021,M330864,PANEL FARO TRAS IZQ.                     ,Reparar,2.00
5093/2021,M330864,ZOCALO IZQ                 ,Reparar,0.00
5093/2021,M330864,CHORIZO TECHO IZQ                 ,Reparar,0.00
5093/2021,M330864,DEPOSITO DE COMBUSTIBLE                     ,SYC,2.00
5093/2021,M330864,CABL. SIST. ELECTRICO                     ,SYC,1.00
5093/2021,M330864,MONTANTE TRAS. baul izq            ,Reparar,2.00
5100/2021,M348009,TAPA DE CAJA PICK UP                     ,Sustituir,1.00
5100/2021,M348009,BISAGRA DE BAUL Tapa caja DER       ,Sustituir,0.25
5100/2021,M348009,INSIGNIA - EMBLEMA kit tapa caja       ,Sustituir,0.10
5100/2021,M348009,PARAGOLPE TRASERO                     ,Sustituir,1.00
5100/2021,M348009,ALMA PARAGOLPE TRAS                     ,Sustituir,0.50
5100/2021,M348009,GUIA DE PARAGOLPES Tras central        ,Sustituir,0.20
5100/2021,M348009,CANTONERA TRAS DER                 ,Sustituir,0.50
5100/2021,M348009,FARO REFLECTIVO Cantonera tras DER  ,Sustituir,0.00
5100/2021,M348009,FENDER TRAS. (IZQ/DER) Cantonera DER       ,Sustituir,0.30
5100/2021,M348009,CAPOT                     ,Sustituir,1.00
5100/2021,M348009,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5100/2021,M348009,FENDER DEL. (IZQ./DER.) Pgolpe IZQ          ,Sustituir,0.30
5100/2021,M348009,FENDER DEL. (IZQ./DER.) Pgolpe DER          ,Sustituir,0.30
5100/2021,M348009,ALMA DE PARAGOLPE DELANTERA                     ,Sustituir,0.50
5100/2021,M348009,CARETA                     ,Sustituir,0.50
5100/2021,M348009,INSIGNIA - EMBLEMA Careta              ,Sustituir,0.10
5100/2021,M348009,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5100/2021,M348009,FRENTE ATORNILLADO COMPLETO                     ,Sustituir,4.00
5100/2021,M348009,ENCAUSADOR AIRE Radiador IZQ        ,Sustituir,0.20
5100/2021,M348009,ENCAUSADOR AIRE Radiador DER        ,Sustituir,0.20
5100/2021,M348009,RADIADOR DE AGUA                     ,Sustituir,0.80
5100/2021,M348009,REFRIGERANTE                     ,Sustituir,0.00
5100/2021,M348009,CONDENSADOR DE A/A                     ,Sustituir,1.00
5100/2021,M348009,CARGA DE GAS                     ,Sustituir,0.00
5100/2021,M348009,PALETA ELECTRO                     ,Sustituir,0.50
5100/2021,M348009,PASARRUEDA  DELANTERO IZQ                 ,Reparar,1.00
5100/2021,M348009,BISAGRAS CAPOT DER                 ,Reparar,1.00
5100/2021,M348009,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,1.00
5100/2021,M348009,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,2.00
5100/2021,M348009,PASARRUEDA  DELANTERO DER                 ,Reparar,1.00
5100/2021,M348009,BUCHEGLASS DEL DER             ,SYC,0.30
5100/2021,M348009,BUCHEGLASS DEL IZQ             ,SYC,0.30
5100/2021,M348009,VANOS MOTOR                     ,SYC,1.00
5100/2021,M348009,BISAGRAS CAPOT IZQ                 ,Reparar,1.00
5100/2021,M348009,REJILLA TORPEDO                     ,SYC,0.50
5100/2021,M348009,FAROL TRASERO DER                 ,Sustituir,0.25
5100/2021,M348009,LATERAL CAJA DER                 ,Reparar,4.00
5100/2021,M348009,FAROL TRASERO IZQ                 ,SYC,0.25
5100/2021,M348009,CANTONERA TRAS. IZQ                 ,Reparar,1.50
5100/2021,M348009,PANEL TRASERO COLA                ,Reparar,4.00
5100/2021,M348009,MONTANTE DE PARABRISAS DER                     ,Reparar,0.00
5106/2021,M345751,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5106/2021,M345751,INSIGNIA - EMBLEMA careta np           ,Sustituir,0.10
5106/2021,M345751,CARETA                     ,Sustituir,0.50
5106/2021,M345751,EMBELLECEDOR NEGRO REJILLA CENTRAL     ,Sustituir,0.10
5106/2021,M345751,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5106/2021,M345751,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
5106/2021,M345751,LAMPARA DE SEMIOPTICA                     ,Sustituir,0.00
5106/2021,M345751,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
5106/2021,M345751,BUCHEGLASS del IZQ             ,SYC,0.30
5106/2021,M345751,BUCHEGLASS del DER             ,SYC,0.30
5138/2021,M348084,AIRBAG IZQ                 ,Sustituir,1.00
5138/2021,M348084,AIRBAG DER                 ,Sustituir,1.00
5138/2021,M348084,PARABRISAS                     ,Sustituir,2.00
5138/2021,M348084,KIT PEGADO                     ,Sustituir,0.00
5138/2021,M348084,CAJA DISPARADORA                     ,Sustituir,0.50
5138/2021,M348084,CINTO SEGURIDAD IZQ                 ,Sustituir,0.50
5138/2021,M348084,CINTO SEGURIDAD DER                 ,Sustituir,0.50
5138/2021,M348084,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5138/2021,M348084,CAPOT                     ,Sustituir,1.00
5138/2021,M348084,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5138/2021,M348084,CARETA inf                 ,Sustituir,0.50
5138/2021,M348084,CARETA sup                 ,Sustituir,0.00
5138/2021,M348084,MOLDURA CROMADA c/careta inf        ,SYC,0.00
5138/2021,M348084,MOLDURA CROMADA c/careta sup        ,SYC,0.00
5138/2021,M348084,GUIA DE PARAGOLPES del DER             ,Sustituir,0.20
5138/2021,M348084,BUCHEGLASS del DER             ,Sustituir,0.30
5138/2021,M348084,SPOILER DELANTERO                     ,Sustituir,0.50
5138/2021,M348084,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
5138/2021,M348084,TABLERO COMPLETO                     ,Sustituir,6.00
5138/2021,M348084,BANDEJA SUPERIOR PARAGOLPE                     ,Sustituir,0.20
5138/2021,M348084,ALMA DE PARAGOLPE DELANTERA                     ,Sustituir,0.50
5138/2021,M348084,CONDENSADOR DE A/A                     ,Sustituir,1.00
5138/2021,M348084,RADIADOR DE AGUA                     ,Sustituir,0.80
5138/2021,M348084,REFRIGERANTE                     ,Sustituir,0.00
5138/2021,M348084,CARGA DE GAS                     ,Sustituir,0.00
5138/2021,M348084,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
5138/2021,M348084,GUIA DE PARAGOLPES del IZQ             ,Sustituir,0.20
5138/2021,M348084,TAPA DE ENGANCHE DE PARAGOLPE                     ,Sustituir,0.00
5138/2021,M348084,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
5138/2021,M348084,ENCAUSADOR AIRE x2                  ,Sustituir,0.20
5138/2021,M348084,TUBO de admision a f     ,Sustituir,0.00
5138/2021,M348084,VOLANTE                     ,Sustituir,0.40
5138/2021,M348084,RESETEO SISTEMA                     ,Sustituir,0.00
5138/2021,M348084,PROTECTOR  DE CARTER                     ,Sustituir,0.50
5138/2021,M348084,GUARDABARRO/S DELANTERO/S izq                 ,Reparar,2.00
5138/2021,M348084,GUARDABARRO/S DELANTERO/S der                 ,Reparar,3.00
5138/2021,M348084,PASARRUEDA  DELANTERO der                 ,Reparar,2.00
5138/2021,M348084,MEDIO CHASIS DEL. izq                 ,Reparar,2.00
5138/2021,M348084,MEDIO CHASIS DEL. der                 ,Reparar,2.00
5138/2021,M348084,VANOS MOTOR                     ,SYC,1.00
5138/2021,M348084,BUCHEGLASS del izq             ,SYC,0.30
5138/2021,M348084,GUARDABARRO/S DELANTERO/S                     ,Reparar,3.00
5138/2021,M348084,SERPENTIN AIRBAG IZQ .                   ,Sustituir,0.15
5138/2021,M348084,CAMINERO IZQ                 ,Sustituir,0.00
5138/2021,M348084,SAPO LANZA AGUA jgo                 ,Sustituir,0.10
5138/2021,M348084,ENCAUSADOR AIRE jgo                 ,Sustituir,0.20
5138/2021,M348084,PATA INF. RADIADOR ALUMINIO            ,Sustituir,0.00
5138/2021,M348084,MANGON RADI. DER                 ,Sustituir,0.30
5138/2021,M348084,AIRE ACONDICIONADO ca¤o                ,Sustituir,0.50
5138/2021,M348084,ELECTROVENTILADOR                     ,Sustituir,0.60
5138/2021,M348084,SOPORTE ELECTRO                     ,Sustituir,0.40
5138/2021,M348084,FULMINANTE CINTO IZQ EN MONTANTE         ,Sustituir,0.50
5138/2021,M348084,FULMINANTE CINTO DER EN MONTANTE         ,Sustituir,0.50
5138/2021,M348084,TAPA CENTRO TABLERO SUP                 ,Sustituir,0.30
5138/2021,M348084,BUCHEGLASS IZQ                 ,Sustituir,0.30
5138/2021,M348084,BOCINA                     ,Sustituir,0.30
5142/2021,M347653,TASA/S                     ,Sustituir,0.00
5142/2021,M347653,CALCO PUERTA DEL IZQ MOVE            ,Sustituir,0.00
5142/2021,M347653,ESPEJO RETROVISOR EXT. MANUAL IZQ COMPLETO N/P    ,Sustituir,0.40
5142/2021,M347653,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,4.50
5142/2021,M347653,PARAGOLPE DELANTERO                     ,SYC,1.50
5142/2021,M347653,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
5142/2021,M347653,BUCHEGLASS Del IZQ             ,SYC,0.50
5142/2021,M347653,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,7.00
5142/2021,M347653,PUERTAS TRAS. DES. PARCIAL IZQ                 ,Reparar,6.00
5142/2021,M347653,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,2.00
5142/2021,M347653,ZOCALO IZQ                 ,Reparar,6.00
5142/2021,M347653,TAPIZADO Burlt y Alfom       ,SYC,0.50
5142/2021,M347653,ASIENTO DELANTERO IZQ                 ,SYC,0.60
5142/2021,M347653,FAROL TRASERO IZQ                 ,SYC,0.25
5142/2021,M347653,PARAGOLPE TRASERO                     ,SYC,1.00
5144/2021,M347528,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
5144/2021,M347528,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
5144/2021,M347528,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5144/2021,M347528,RADIADOR DE AGUA                     ,Sustituir,0.80
5144/2021,M347528,CONDENSADOR DE A/A .                   ,Sustituir,1.00
5144/2021,M347528,FRENTE DE FIBRA                     ,Sustituir,2.00
5144/2021,M347528,REFRIGERANTE                     ,Sustituir,0.00
5144/2021,M347528,CARGA DE GAS                     ,Sustituir,0.00
5144/2021,M347528,CAMINERO IZQ                 ,Sustituir,0.00
5144/2021,M347528,CAMINERO DER                 ,Sustituir,0.00
5144/2021,M347528,FRENTE SUPERIOR ATORNILLADO                     ,Sustituir,2.00
5144/2021,M347528,REFUERZO DE PARAGOLPES del. mascaron       ,Sustituir,0.50
5144/2021,M347528,ALOJ. FARO DEL . (DER./IZQ) IZQ                 ,Reparar,3.00
5144/2021,M347528,CAPOT                     ,Reparar,2.00
5144/2021,M347528,FRENTE INF.                     ,Reparar,2.00
5144/2021,M347528,MEDIO CHASIS DEL. IZQ                 ,Reparar,2.00
5144/2021,M347528,APLIQUE CENTRAL PARAG. del                 ,Reparar,3.00
5144/2021,M347528,FENDER DEL. (IZQ./DER.) x2 IZQ              ,Reparar,1.00
5144/2021,M347528,FENDER DEL. (IZQ./DER.) x2 DER              ,Reparar,1.00
5144/2021,M347528,CARETA                     ,Sustituir,0.50
5144/2021,M347528,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,1.00
5144/2021,M347528,TAPA DE CAJA PICK UP                     ,Sustituir,1.00
5144/2021,M347528,INSIGNIA Peugeot             ,Sustituir,0.20
5144/2021,M347528,INSIGNIA hogger              ,Sustituir,0.20
5144/2021,M347528,INSIGNIA - EMBLEMA tras                ,Sustituir,0.10
5144/2021,M347528,CALCOS inf de porton       ,Sustituir,0.00
5144/2021,M347528,PARAGOLPE TRASERO                     ,Sustituir,1.00
5144/2021,M347528,ABSORB. DE PARAG. SUP. tras                ,Sustituir,0.20
5144/2021,M347528,FAROL TRASERO IZQ                 ,Sustituir,0.25
5144/2021,M347528,FAROL TRASERO DER                 ,SYC,0.25
5144/2021,M347528,LATERAL CAJA IZQ                 ,Reparar,3.00
5144/2021,M347528,ALOJ. FARO TRAS.(IZQ./DER.) IZQ                 ,Reparar,2.00
5144/2021,M347528,MOLDURA TAPA VALIJA IZQ                 ,Sustituir,0.30
5144/2021,M347528,MOLDURA TAPA VALIJA DER                 ,Sustituir,0.30
5144/2021,M347528,PANEL TRASERO                     ,Reparar,4.00
5144/2021,M347528,PISO DE BAUL                     ,Reparar,3.00
5144/2021,M347528,MEDIO CHASIS TRAS. IZQ                 ,Reparar,2.00
5144/2021,M347528,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,4.00
5144/2021,M347528,CIERRE DE ESPOLON                     ,Sustituir,0.00
5144/2021,M347528,GUIA DE PARAGOLPES tras IZQ            ,Sustituir,0.00
5153/2021,M342648,PARABRISAS                     ,Sustituir,2.00
5153/2021,M342648,AIRBAG IZQ                 ,Sustituir,1.00
5153/2021,M342648,DISPARADOR AIRBAG                     ,Sustituir,0.40
5153/2021,M342648,AIRBAG DER                 ,Sustituir,1.00
5153/2021,M342648,CINTO SEGURIDAD IZQ                 ,Sustituir,0.50
5153/2021,M342648,CINTO SEGURIDAD DER                 ,Sustituir,0.50
5153/2021,M342648,RESETEO SISTEMA                     ,Sustituir,0.00
5153/2021,M342648,CAPOT                     ,Sustituir,1.00
5153/2021,M342648,BISAGRAS CAPOT x2                  ,Sustituir,0.25
5153/2021,M342648,CARETA                     ,Sustituir,0.50
5153/2021,M342648,INSIGNIA - EMBLEMA careta              ,Sustituir,0.10
5153/2021,M342648,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
5153/2021,M342648,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5153/2021,M342648,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5153/2021,M342648,"REJILLA IZQ, DE PARAG. marco caminero      ",Sustituir,0.10
5153/2021,M342648,CAMINERO IZQ                 ,Sustituir,0.00
5153/2021,M342648,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
5153/2021,M342648,REJILLA DER. DE PARAG. marco caminero      ,Sustituir,0.10
5153/2021,M342648,CAMINERO DER                 ,Sustituir,0.00
5153/2021,M342648,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
5153/2021,M342648,DUCTO ENTRADA F/AIRE                     ,Sustituir,0.15
5153/2021,M342648,BUCHEGLASS del. DER            ,Sustituir,0.30
5153/2021,M342648,BUCHEGLASS del. IZQ            ,SYC,0.30
5153/2021,M342648,TRAVESA¥O ENTRECHASIS del.                ,Sustituir,3.00
5153/2021,M342648,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
5153/2021,M342648,PASARRUEDA  DELANTERO DER                 ,Sustituir,3.00
5153/2021,M342648,PATA DE MOTOR DER                 ,Sustituir,0.25
5153/2021,M342648,BASE PATA MOTOR DER. .                   ,Sustituir,0.00
5153/2021,M342648,FENDER DEL. (IZQ./DER.) DER                 ,Sustituir,0.30
5153/2021,M342648,FENDER DEL. (IZQ./DER.) IZQ                 ,Sustituir,0.30
5153/2021,M342648,PUERTA DELANTERA DES. PARCIAL DER                 ,Reparar,4.00
5153/2021,M342648,MONTANTE DE PARABRISAS DER                     ,Reparar,2.00
5153/2021,M342648,REJILLA TORPEDO                     ,Sustituir,0.50
5153/2021,M342648,RADIADOR DE AGUA controlar           ,SYC,0.80
5153/2021,M342648,CONDENSADOR DE A/A controlar           ,SYC,1.00
5153/2021,M342648,CARGA DE GAS                     ,Sustituir,0.00
5153/2021,M342648,REFRIGERANTE                     ,Sustituir,0.00
5153/2021,M342648,ALINEACION tren del.           ,Sustituir,0.00
5153/2021,M342648,TABLERO COMPLETO                     ,Sustituir,4.50
5153/2021,M342648,TORRE SUSP. DEL. DER                 ,Reparar,3.00
5153/2021,M342648,SOPORTE pasarueda del DER   ,Reparar,1.50
5153/2021,M342648,LLANTA A REPARAR gagliano            ,Sustituir,0.50
5153/2021,M342648,CUBIERTA SCORPION 175/70 R14          ,Sustituir,0.10
5153/2021,M342648,BALANCEAR                     ,Sustituir,0.00
5153/2021,M342648,FLETES                     ,Sustituir,0.00
5153/2021,M342648,POLEAS cigue¤al            ,Sustituir,0.50
5153/2021,M342648,SENSORES cigue¤al            ,Sustituir,0.25
5153/2021,M342648,TAPA DISTRIBUCION superior            ,Sustituir,0.50
5153/2021,M342648,TAPA DISTRIBUCION inferior            ,Sustituir,0.50
5153/2021,M342648,CIERRE DE ESPOLON inferior            ,Sustituir,0.25
5153/2021,M342648,CORREA alternador          ,Sustituir,0.25
5153/2021,M342648,CORREA distribuci¢n        ,Sustituir,0.25
5153/2021,M342648,BOMBA DIRECCION                     ,Sustituir,0.50
5153/2021,M342648,POLEAS bomba direccion     ,Sustituir,0.50
5153/2021,M342648,CA¥O HIDRAULICO bomba direccion     ,Sustituir,0.50
5153/2021,M342648,SOPORTE bomba direccion     ,Reparar,2.00
5153/2021,M342648,CA¥O DE AIRE ACONDICIONADO salida condensa     ,Sustituir,0.50
5153/2021,M342648,CA¥O DE AIRE ACONDICIONADO entrada condens     ,Sustituir,0.50
5153/2021,M342648,CA¥O HIDRAULICO bomba a cremall     ,Sustituir,0.50
5153/2021,M342648,PROTECTOR POLEAS .                   ,Sustituir,0.00
5153/2021,M342648,CORREA bomba hidr ulic     ,Sustituir,0.25
5153/2021,M342648,BOMBA DE AGUA                     ,Sustituir,1.00
5153/2021,M342648,BOMBA DE ACEITE motor               ,Sustituir,1.00
5153/2021,M342648,BULBO aceite motor        ,Sustituir,0.10
5153/2021,M342648,FILTRO DE ACEITE                     ,Sustituir,0.15
5153/2021,M342648,HOMOCINETICA X1 .                   ,Sustituir,0.00
5153/2021,M342648,LARGUERO DE CHASIS DELANTERO DER                 ,Sustituir,6.00
5153/2021,M342648,EXTENSION LARGERO CHASSIS D/D .                   ,Sustituir,0.00
5153/2021,M342648,BAJADA LARGUERO CHASSIS DEL DER                 ,Reparar,2.00
5153/2021,M342648,PARRILLA DE SUSP. DEL. DER                 ,Sustituir,1.00
5153/2021,M342648,AMORTIGUADOR DEL. DER                 ,Sustituir,1.00
5153/2021,M342648,BIELETA DER                 ,Sustituir,0.25
5153/2021,M342648,MORDAZA FRENO DEL/DER .                   ,Sustituir,0.00
5153/2021,M342648,BOTONERA CONTROL RADIO EN volante             ,Sustituir,0.00
5153/2021,M342648,MARCO radio               ,Sustituir,0.25
5153/2021,M342648,REJILLA SALIDA A/C EN MARCO RADIO DER.          ,Sustituir,0.00
5153/2021,M342648,PISO DEL. DER                 ,Reparar,2.00
5153/2021,M342648,ZOCALO DER                 ,Reparar,2.00
5153/2021,M342648,MONTANTE DELAN. DER                 ,Reparar,2.00
5153/2021,M342648,BISAGRA PUERTA (DEL O TRAS) del. DER            ,Reparar,1.50
5153/2021,M342648,DAMPER .                   ,Sustituir,0.00
5153/2021,M342648,SACAR/COLOCAR MOTOR                     ,SYC,6.00
5153/2021,M342648,FLETES                     ,Sustituir,0.00
5162/2021,M348097,TABLERO COMPLETO                     ,Sustituir,6.00
5162/2021,M348097,AIRBAG IZQ                 ,Sustituir,1.00
5162/2021,M348097,AIRBAG DER                 ,Sustituir,1.00
5162/2021,M348097,CINTO SEGURIDAD IZQ                 ,Sustituir,0.50
5162/2021,M348097,CINTO SEGURIDAD DER                 ,Sustituir,0.50
5162/2021,M348097,CAJA DISPARADORA                     ,Sustituir,0.50
5162/2021,M348097,RESETEO SISTEMA                     ,Sustituir,0.00
5162/2021,M348097,CAPOT                     ,Sustituir,1.00
5162/2021,M348097,CIERRE DE ESPOLON sup                 ,Sustituir,0.25
5162/2021,M348097,CIERRE DE ESPOLON inf                 ,Sustituir,0.25
5162/2021,M348097,BISAGRAS CAPOT IZQ                 ,Sustituir,0.25
5162/2021,M348097,BISAGRAS CAPOT DER                 ,Sustituir,0.25
5162/2021,M348097,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5162/2021,M348097,ALMA DE PARAGOLPE DELANTERA                     ,Sustituir,0.50
5162/2021,M348097,ABSORB. DE PARAG. SUP. jgo espumas del     ,Sustituir,0.20
5162/2021,M348097,GUIA DE PARAGOLPES del x2              ,Sustituir,0.20
5162/2021,M348097,"REJILLA IZQ, DE PARAG.                     ",Sustituir,0.10
5162/2021,M348097,REJILLA DER. DE PARAG.                     ,Sustituir,0.10
5162/2021,M348097,INSIGNIA - EMBLEMA de careta           ,Sustituir,0.10
5162/2021,M348097,CARETA                     ,Sustituir,0.50
5162/2021,M348097,FRENTE ATORNILLADO COMPLETO                     ,Sustituir,4.00
5162/2021,M348097,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
5162/2021,M348097,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5162/2021,M348097,COMPRESOR DE A/C                     ,Sustituir,0.80
5162/2021,M348097,ALTERNADOR                     ,Sustituir,0.50
5162/2021,M348097,CORREA/S 6pk                 ,Sustituir,0.25
5162/2021,M348097,CORREA/S 3pk                 ,Sustituir,0.25
5162/2021,M348097,SONDA LAMBDA                     ,Sustituir,0.15
5162/2021,M348097,CA¥O DE AIRE ACONDICIONADO 5u0820721b          ,Sustituir,0.50
5162/2021,M348097,SOPORTES RADIADORES taco goma x4        ,Sustituir,0.15
5162/2021,M348097,RADIADOR DE AGUA                     ,Sustituir,0.80
5162/2021,M348097,CONDENSADOR DE A/A                     ,Sustituir,1.00
5162/2021,M348097,ELECTROVENTILADOR C/SOPORTE           ,Sustituir,0.60
5162/2021,M348097,ENCAUSADOR AIRE jgo                 ,Sustituir,0.20
5162/2021,M348097,CARGA DE GAS                     ,Sustituir,0.00
5162/2021,M348097,REFRIGERANTE                     ,Sustituir,0.00
5162/2021,M348097,DEPOSITO L.P.                     ,Sustituir,0.20
5162/2021,M348097,MONTANTE DE PARABRISAS DER                     ,Reparar,1.00
5162/2021,M348097,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,2.00
5162/2021,M348097,MEDIO CHASIS DEL. DER                 ,Reparar,3.00
5162/2021,M348097,MEDIO CHASIS DEL. IZQ                 ,Reparar,4.50
5162/2021,M348097,PASARRUEDA  DELANTERO IZQ                 ,Reparar,1.50
5162/2021,M348097,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
5162/2021,M348097,MONTANTE DE PARABRISAS IZQ                     ,Reparar,1.00
5162/2021,M348097,PUERTA DELANTERA DES. PARCIAL parcial IZQ         ,Reparar,0.00
5162/2021,M348097,VANOS MOTOR                     ,SYC,1.00
5177/2021,M342664,PARAGOLPE TRASERO                     ,Sustituir,1.00
5177/2021,M342664,SPOILER TRAS. inf.pgpe            ,Sustituir,0.50
5177/2021,M342664,SENSORES 3 m.atras           ,Sustituir,0.25
5177/2021,M342664,CAMARA MARCHA ATRAS .                   ,Sustituir,0.20
5177/2021,M342664,INSIGNIA - EMBLEMA                     ,Sustituir,0.10
5177/2021,M342664,INSIGNIA turbo               ,Sustituir,0.20
5177/2021,M342664,INSIGNIA ltz                 ,Sustituir,0.00
5177/2021,M342664,INSIGNIA onix                ,Sustituir,0.00
5177/2021,M342664,GUIA DE PARAGOLPES IZQ                 ,Sustituir,0.20
5177/2021,M342664,GUIA DE PARAGOLPES DER                 ,Sustituir,0.20
5177/2021,M342664,FAROL TRASERO IZQ                 ,SYC,0.25
5177/2021,M342664,FAROL TRASERO DER                 ,SYC,0.25
5177/2021,M342664,PANEL TRASERO                     ,Reparar,6.00
5177/2021,M342664,PISO DE BAUL                     ,Reparar,4.00
5177/2021,M342664,TAPA BAUL HATCH                     ,Reparar,6.00
5177/2021,M342664,ALMA PARAGOLPE TRAS                     ,Sustituir,0.50
5177/2021,M342664,TAPIZADO BAUL COMPL.                     ,SYC,0.60
5177/2021,M342664,CABL. SIST. ELECTRICO                     ,SYC,1.00
5177/2021,M342664,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,1.00
5177/2021,M342664,ASIENTO TRASERO                     ,SYC,0.80
5193/2021,M342677,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
5193/2021,M342677,MOLDURA CROMADA rejilla cent        ,Sustituir,0.40
5193/2021,M342677,INSIGNIA - EMBLEMA chevrone del x2     ,Sustituir,0.10
5193/2021,M342677,CAPOT                     ,Sustituir,1.00
5193/2021,M342677,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
5193/2021,M342677,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
5193/2021,M342677,BUCHEGLASS del IZQ             ,Sustituir,0.30
5193/2021,M342677,PARABRISAS                     ,Sustituir,2.00
5193/2021,M342677,KIT PEGADO                     ,Sustituir,0.00
5193/2021,M342677,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
5193/2021,M342677,BUCHEGLASS del DER             ,Sustituir,0.30
5193/2021,M342677,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
5193/2021,M342677,ESPEJO RETROV.EXT.ELECTRICO completo DER        ,Sustituir,0.40
5193/2021,M342677,PUERTA DELAN. DESARME COMPLETO DER                 ,Sustituir,4.00
5193/2021,M342677,CALCO MONTANTE jgo pta del DER     ,Sustituir,0.00
5193/2021,M342677,1/2 COLIZA pta del DER         ,Sustituir,0.20
5193/2021,M342677,PLASTICO CONT DE ESPEJO DER                 ,Sustituir,0.00
5193/2021,M342677,CALCO MONTANTE jgo pta del IZQ     ,Sustituir,0.00
5193/2021,M342677,AMORTIGUADOR DEL. DER                 ,Sustituir,1.00
5193/2021,M342677,PORTAMAZA del DER             ,Sustituir,0.50
5193/2021,M342677,PARRILLA DE SUSP. DEL. c/rotula DER        ,Sustituir,1.00
5193/2021,M342677,SEMIEJE DELANTERO DER                 ,Sustituir,0.50
5193/2021,M342677,PUNTERO DIRECCION DER                 ,Sustituir,0.25
5193/2021,M342677,BARRA DIRECCION extremo DER         ,Sustituir,0.25
5193/2021,M342677,BIELETA del DER             ,Sustituir,0.25
5193/2021,M342677,SENSORES ABS del DER         ,Sustituir,0.25
5193/2021,M342677,CA¥O HIDRAULICO flex fren¢ del DER  ,Sustituir,0.50
5193/2021,M342677,"LLANTA x2 15""              ",Sustituir,0.50
5193/2021,M342677,VALVULA DE RUEDA x2                  ,Sustituir,0.00
5193/2021,M342677,TASA/S x2                  ,Sustituir,0.00
5193/2021,M342677,FRENTE DE FIBRA                     ,Sustituir,2.00
5193/2021,M342677,BANDEJA SUPERIOR PARAGOLPE                     ,Sustituir,0.20
5193/2021,M342677,CIERRE DE ESPOLON                     ,Sustituir,0.25
5193/2021,M342677,ALMA DE PARAGOLPE DELANTERA plastico inf        ,Sustituir,0.50
5193/2021,M342677,BISAGRAS CAPOT x2                  ,Sustituir,0.25
5193/2021,M342677,ALMA DE PARAGOLPE DELANTERA plastici sup        ,Sustituir,0.50
5193/2021,M342677,SPOILER DELANTERO n/p                 ,Sustituir,0.50
5193/2021,M342677,PUERTA DELAN. DESARME COMPLETO IZQ                 ,Reparar,8.00
5193/2021,M342677,1/2 COLIZA del IZQ             ,Sustituir,0.20
5193/2021,M342677,MONTANTE DE PARABRISAS IZQ                     ,Sustituir,4.00
5193/2021,M342677,COLIZAS pta del IZQ         ,Sustituir,0.00
5193/2021,M342677,TAPA BAUL HATCH .                   ,Reparar,8.00
5193/2021,M342677,TAPIZADO ASIENTO DEL DER                 ,Sustituir,0.50
